Availability,VariableName,VariableCode,Unit,Observations,Sites,MeanObsPerSite,FirstRecordUTC,LastRecordUTC
<button type='button' id='specificConductance'>view</button>,NA,specificConductance,NA,23498,27,870,2012-02-01T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='Sr'>view</button>,Strontium,Sr,mg/L,353,9,39,2009-06-18T00:00:00Z,2009-08-13T00:00:00Z
<button type='button' id='SRP'>view</button>,Soluble Reactive Phosphorus,SRP,mg/L,173311,102,1699,1983-07-10T00:00:00Z,2019-01-01T00:00:00Z
<button type='button' id='suspSed'>view</button>,Suspended Sediment,suspSed,mg/L,548457,13,42189,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='T_ECHL'>view</button>,Epilithic Total Chlorophyll,T_ECHL,mg/cm2,18244,32,570,1983-07-23T00:00:00Z,2015-08-13T00:00:00Z
<button type='button' id='TCHL'>view</button>,Sestonic Total Chlorophyll,TCHL,mg/l,18510,47,394,1983-07-23T00:00:00Z,2015-08-09T00:00:00Z
<button type='button' id='TDN'>view</button>,Total Dissolved Nitrogen,TDN,mg/L,907287,144,6301,1968-10-09T00:00:00Z,2020-06-24T00:00:00Z
<button type='button' id='TDP'>view</button>,Total Dissolved Phosphorus,TDP,mg/L,702829,124,5668,1968-10-09T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='TDS'>view</button>,Total Dissolved Solids,TDS,mg/L,23376,27,866,2012-02-01T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='temp'>view</button>,Water Temperature,temp,degrees C,279175,124,2251,1963-06-26T00:00:00Z,2020-12-31T00:00:00Z
<button type='button' id='theoryCond'>view</button>,Theoretical Conductivity,theoryCond,uS/cm,321552,9,35728,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='TIN'>view</button>,Total Inorganic Nitrogen,TIN,mg/L,49346,12,4112,1994-01-12T00:00:00Z,2018-10-19T00:00:00Z
<button type='button' id='TIP'>view</button>,Total Inorganic Phosphorus,TIP,mg/L,17198,12,1433,1997-05-30T00:00:00Z,2018-10-19T00:00:00Z
<button type='button' id='TKN'>view</button>,Total Kjeldahl Nitrogen,TKN,mg/L,350429,13,26956,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
<button type='button' id='TMAl'>view</button>,Aluminum TM,TMAl,mg/L,91764,9,10196,2008-01-08T00:00:00Z,2019-05-29T00:00:00Z
<button type='button' id='TN'>view</button>,Total Nitrogen,TN,mg/L,177952,74,2405,1985-03-13T00:00:00Z,2020-07-21T00:00:00Z
<button type='button' id='TOC'>view</button>,Total Organic Carbon,TOC,mg/L,36137,42,860,2002-01-04T00:00:00Z,2020-07-21T00:00:00Z
<button type='button' id='TP'>view</button>,Total Phosphorus,TP,mg/L,212442,75,2833,1989-09-06T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='TPC'>view</button>,Total Particulate Carbon,TPC,mg/L,42474,75,566,1994-06-25T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='TPN'>view</button>,Total Particulate Nitrogen,TPN,mg/L,485667,100,4857,1978-06-28T00:00:00Z,2019-12-20T00:00:00Z
<button type='button' id='TPP'>view</button>,Total Particulate Phosphorus,TPP,mg/L,606585,89,6816,1974-10-11T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='TSS'>view</button>,Total Suspended Solids,TSS,mg/L,58401,71,823,1993-06-19T00:00:00Z,2019-12-31T00:00:00Z
<button type='button' id='turbid'>view</button>,Turbidity,turbid,FNU,62466,40,1562,2001-10-03T00:00:00Z,2020-12-01T00:00:00Z
<button type='button' id='UTKN'>view</button>,Unfilt. Total Kjeldahl Nitrogen,UTKN,mg/L,238851,13,18373,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z
<button type='button' id='UTN'>view</button>,Unfiltered Total Nitrogen,UTN,mg/L,406766,13,31290,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='UTP'>view</button>,Unfiltered Total Phosphorus,UTP,mg/L,483494,13,37192,1974-10-11T00:00:00Z,2019-05-22T00:00:00Z
<button type='button' id='VSS'>view</button>,NA,VSS,NA,5775,3,1925,2009-05-07T00:00:00Z,2019-12-31T00:00:00Z
<button type='button' id='Zn'>view</button>,Zinc,Zn,mg/L,1850,9,206,2009-06-18T00:00:00Z,2015-08-09T00:00:00Z
